number,position,value
983,2021,こーるらびのてんぷら
984,2023,ごぼうのてんぷら
985,2025,こまつなのてんぷら
986,2027,ししとうのてんぷら
987,2029,しそのてんぷら
988,2031,しゅんぎくのてんぷら
989,2033,しょうがのてんぷら
990,2035,しろうりのてんぷら
991,2037,ずっきーにのてんぷら
992,2039,せりのてんぷら
993,2041,せろりのてんぷら
994,2043,ぜんまいのてんぷら
995,2045,そらまめのてんぷら
996,2047,たあさいのてんぷら
997,2049,かいわれだいこんのてんぷら
998,2051,だいこんのてんぷら
999,2053,たけのこのてんぷら
1000,2055,たまねぎのてんぷら
1001,2057,ちんげんさいのてんぷら
1002,2059,つくしのてんぷら
1003,2061,とうがんのてんぷら
1004,2063,とうもろこしのてんぷら
1005,2065,やんぐこーんのてんぷら
1006,2067,とまとのてんぷら
1007,2069,みにとまとのてんぷら
1008,2071,とれびすのてんぷら
1009,2073,なすのてんぷら
1010,2075,なずなのてんぷら
1011,2077,ごーやのてんぷら
1012,2079,にがうりのてんぷら
1013,2081,にらのてんぷら
1014,2083,にんじんのてんぷら
1015,2085,みにきゃろっとのてんぷら
1016,2087,にんにくのてんぷら
1017,2089,にんにくのめのてんぷら
1018,2091,ねぎのてんぷら
1019,2093,はねぎのてんぷら
1020,2095,こねぎのてんぷら
1021,2097,のざわなのてんぷら
1022,2099,のびるのてんぷら
1023,2101,はくさいのてんぷら
1024,2103,ばじるのてんぷら
1025,2105,ぱせりのてんぷら
1026,2107,はつかだいこんのてんぷら
1027,2109,はやとうりのてんぷら
1028,2111,びーつのてんぷら
1029,2113,ぴーまんのてんぷら
1030,2115,ひろしまなのてんぷら
1031,2117,ふきのてんぷら
1032,2119,ふきのとうのてんぷら
1033,2121,ぶろっこりーのてんぷら
1034,2123,へちまのてんぷら
1035,2125,ほうれんそうのてんぷら
1036,2127,みずなのてんぷら
1037,2129,みょうがのてんぷら
1038,2131,むかごのてんぷら
1039,2133,めきゃべつのてんぷら
1040,2135,あるふぁるふぁのてんぷら
1041,2137,だいずもやしのてんぷら
1042,2139,りょくとうもやしのてんぷら
1043,2141,もろへいやのてんぷら
1044,2143,ゆりねのてんぷら
1045,2145,よめなのてんぷら
1046,2147,よもぎのてんぷら
1047,2149,らっかせいのてんぷら
1048,2151,らっきょうのてんぷら
1049,2153,えしゃれっとのてんぷら
1050,2155,りーきのてんぷら
1051,2157,るっこらのてんぷら
1052,2159,るばーぶのてんぷら
1053,2161,れたすのてんぷら
1054,2163,りーふれたすのてんぷら
1055,2165,さにーれたすのてんぷら
1056,2167,さんちぇのてんぷら
1057,2169,えのきたけのてんぷら
1058,2171,きくらげのてんぷら
1059,2173,しろきくらげのてんぷら
1060,2175,くろあわびたけのてんぷら
1061,2177,しいたけのてんぷら
1062,2179,かんそうしいたけのてんぷら
1063,2181,はたけしめじのてんぷら
1064,2183,ぶなしめじのてんぷら
1065,2185,ほんしめじのてんぷら
1066,2187,たもぎたけのてんぷら
1067,2189,なめこのてんぷら
1068,2191,うすひらたけのてんぷら
1069,2193,えりんぎのてんぷら
1070,2195,ひらたけのてんぷら
1071,2197,まいたけのてんぷら
1072,2199,まっしゅるーむのてんぷら
1073,2201,まつたけのてんぷら
1074,2203,やなぎまつたけのてんぷら
1075,2205,むしやさい(たまねぎ)
1076,2211,ぜんまい
1077,2213,そらまめゆで
1078,2215,とうにゅう
1079,2217,みずあめ
1080,2219,てらなっとう
1081,2221,えだまめゆで
1082,2223,ずいきゆで
1083,2225,げんまいがゆ
1084,2229,あまぐり
1085,2231,もちごめ
1086,2233,あいなめさしみ
1087,2235,あくえりあす
1088,2237,あなごむし
1089,2239,あみしおから
1090,2241,あわびしおから
1091,2243,あわびさしみ
1092,2245,あんきも
1093,2247,あんずかんづめ
1094,2249,あんぱん
1095,2251,いさきさしみ
1096,2253,いちごこつぶ
1097,2255,いちごおおつぶ
1098,2257,いちごちゅう
1099,2259,いちじくどらいふるーつ
1100,2261,いちじくかんづめ
1101,2263,いぼだいさしみ
1102,2264,いよかん
1103,2266,うえはーす
1104,2268,えのきだけゆで
1105,2270,えんだいぶ
1106,2272,えんどうしおまめ
1107,2274,おくらゆで
1108,2276,おのろけまめ
1109,2278,おりーぶあぶら
1110,2280,おもち
1111,2282,おもち
1112,2284,かじかみずに
1113,2286,かぶはのしおづけ
1114,2288,かぼすかじゅう
1115,2290,かますやき
1116,2292,からしなはなま
1117,2294,からしなしおづけ
1118,2295,からすみ　　　
1119,2296,からすみ
1120,2298,かりふらわーなま
1121,2300,あいなめのてんぷら
1122,2302,あこうだいのてんぷら
1123,2304,あじのてんぷら
1124,2306,あなごのてんぷら
1125,2308,あまだいのてんぷら
1126,2310,あんこうのてんぷら
1127,2312,あんきものてんぷら
1128,2314,いかなごのてんぷら
1129,2316,いさきのてんぷら
1130,2318,いしだいのてんぷら
1131,2320,いとよりだいのてんぷら
1132,2322,いぼだいのてんぷら
1133,2324,いわしのてんぷら
1134,2326,しらすのてんぷら
1135,2328,うまづらはぎのてんぷら
1136,2330,おひょうのてんぷら
1137,2332,かさごのてんぷら
1138,2334,くろかじきのてんぷら
1139,2336,まかじきのてんぷら
1140,2338,めかじきのてんぷら
1141,2344,かますのてんぷら
1142,2346,かれいのてんぷら
1143,2348,まこがれいのてんぷら
1144,2350,かわはぎのてんぷら
1145,2352,かんぱちのてんぷら
1146,2354,きすのてんぷら
1147,2356,きびなごのてんぷら
1148,2358,ぎんだらのてんぷら
1149,2360,きんめだいのてんぷら
1150,2362,ぐちのてんぷら
1151,2364,こいのてんぷら
1152,2366,こちのてんぷら
1153,2368,めごちのてんぷら
1154,2370,このしろのてんぷら
1155,2372,からふとますのてんぷら
1156,2374,ぎんざけのてんぷら
1157,2376,さくらますのてんぷら
1158,2378,しろさけのてんぷら
1159,2380,いくらのてんぷら
1160,2382,すじこのてんぷら
1161,2384,あとらんてぃっくさーもんのてんぷら
1162,2386,にじますのてんぷら
1163,2388,べにさけのてんぷら
1164,2390,さばのてんぷら
1165,2392,さよりのてんぷら
1166,2394,さわらのてんぷら
1167,2396,さんまのてんぷら
1168,2398,しらびらめのてんぷら
1169,2400,しまあじのてんぷら
1170,2402,しらうおのてんぷら
1171,2404,すずきのてんぷら
1172,2406,きだいのてんぷら
1173,2408,くろだいのてんぷら
1174,2410,ちだいのてんぷら
1175,2412,まだいのてんぷら
1176,2414,たかさごのてんぷら
1177,2416,たかべのてんぷら
1178,2418,たちうおのてんぷら
1179,2420,すけとうだらのてんぷら
1180,2422,たらのてんぷら
1181,2424,ちかのてんぷら
1182,2426,どじょうのてんぷら
1183,2428,とびうおのてんぷら
1184,2430,てぃらぴあのてんぷら
1185,2432,なまずのてんぷら
1186,2434,にしんのてんぷら
1187,2436,かずのこのてんぷら
1188,2438,はぜのてんぷら
1189,2440,はたはたのてんぷら
1190,2442,はものてんぷら
1191,2444,ひらめのてんぷら
1192,2446,ふぐのてんぷら
1193,2448,ふなのてんぷら
1194,2450,ぶりのてんぷら
1195,2452,ほうぼうのてんぷら
1196,2454,ほきのてんぷら
1197,2456,ほっけのてんぷら
1198,2458,ぼらのてんぷら
1199,2460,きはだのてんぷら
1200,2462,むつのてんぷら
1201,2464,めじなのてんぷら
1202,2466,めばるのてんぷら
1203,2468,やまめのてんぷら
1204,2470,わかさぎのてんぷら
1205,2472,かきのてんぷら
1206,2474,さざえのてんぷら
1207,2476,つぶがいのてんぷら
1208,2478,とこぶしのてんぷら
1209,2480,とりがいのてんぷら
1210,2482,ばいがいのてんぷら
1211,2484,ばかがいのてんぷら
1212,2486,はまぐりのてんぷら
1213,2488,ほたてがいのてんぷら
1214,2490,ほっきがいのてんぷら
1215,2492,みるがいのてんぷら
1216,2494,あまえびのてんぷら
1217,2496,いせえびのてんぷら
1218,2498,くるまえびのてんぷら
1219,2500,さくらえびのてんぷら
1220,2502,たいしょうえびのてんぷら
1221,2504,しばえびのてんぷら
1222,2506,ぱなめいえびのてんぷら
1223,2508,ぶらっくたいがーのてんぷら
1224,2510,けがにのてんぷら
1225,2512,ずわいがにのてんぷら
1226,2514,たらばがにのてんぷら
1227,2516,あかいかのてんぷら
1228,2518,けんさきいかのてんぷら
1229,2520,こういかのてんぷら
1230,2522,するめいかのてんぷら
1231,2524,げそのてんぷら
1232,2526,ほたるいかのてんぷら
1233,2528,やりいかのてんぷら
1234,2530,いいたこのてんぷら
1235,2532,たこのてんぷら
1236,2534,しゃこのてんぷら
1237,2536,なまこのてんぷら
1238,2538,かにかまのてんぷら
1239,2540,こんぶまきかまぼこのてんぷら
1240,2542,かまぼこのてんぷら
1241,2544,ちくわのてんぷら
1242,2546,だてまきのてんぷら
1243,2548,つみれのてんぷら
1244,2550,はんぺんのてんぷら
1245,2552,さつまあげのてんぷら
1246,2554,ぎょにくはむのてんぷら
1247,2556,ぎょにくそーせーじのてんぷら
1248,2560,かろりーめーと
1249,2562,ぎゅうにくのてんぷら
1250,2564,ぶたにくのてんぷら
1251,2566,ぼーんれすはむのてんぷら
1252,2574,らむのてんぷら
1253,2576,まとんのてんぷら
1254,2578,とりにくのてんぷら
1255,2580,てばさきのてんぷら
1256,2582,たまごのてんぷら
1257,2584,ういんなーのてんぷら
1258,2640,ざるそば
1259,2642,つめたいそば
1260,2644,つめたいてんぶらそば
1261,2646,つめたいおろしそば
1262,2648,つめたいかきあげそば
1263,2704,たこらいす
1264,2706,ちゃーはん
1265,2708,ふらぺちーのとーるさいず
1266,2710,ちんじゃおろーす
1267,2712,べーぐる
1268,2714,ごはん
1269,2716,ごぼうゆで
1270,2718,こまつなゆで
1271,2720,ざーさいつけもの
1272,2722,ふくじんづけ
1273,2724,つまみな
1274,2726,たいさい
1275,2728,たけのこゆで
1276,2730,たらのめゆで
1277,2732,とうがんゆで
1278,2734,みにとまと
1279,2736,なすこうじづけ
1280,2738,なすからしづけ
1281,2740,なすしばづけ
1282,2742,のざわなしおづけ
1283,2744,はくさいゆで
1284,2746,はくさいつけもの
1285,2748,きむち
1286,2750,はつかだいこん
1287,2752,ひのなあまず
1288,2753,ふき(ゆで)　　
1289,2754,ふきゆで
1290,2755,ふだんそう(ゆで)　　
1291,2756,ふだんそう
1292,2758,ぶろっこりーなま
1293,2760,きりみつば
1294,2762,めきゃべつなま
1295,2764,もろへいやゆで
1296,2766,りーきゆで
1297,2768,るばーぶゆで
1298,2770,さらだな
1299,2772,さんちゅ
1300,2774,れんこんゆで
1301,2776,うめちょうみづけ
1302,2778,うめぼしちょうみづけ
1303,2780,しらぬい
1304,2782,すだちかじゅう
1305,2783,せとか
1306,2785,はっさく
1307,2787,ぶんたん
1308,2789,ぽんかん
1309,2791,ゆずかじゅう
1310,2793,らいむかじゅう
1311,2795,れもんかじゅう
1312,2797,なたでここ
1313,2799,すいかきいろ
1314,2801,すたーふるーつ
1315,2803,どらごんふるーつ
1316,2805,ぱいなっぷる
1317,2807,どらいばなな
1318,2809,おんしつめろん
1319,2811,りんごかわなし
1320,2813,りんごかわあり
1321,2815,なめこかんづめ
1322,2817,まいたけゆで
1323,2819,あじつけのり
1324,2821,まだいみずに
1325,2823,まだいやき
1326,2825,いしだいさしみ
1327,2827,かわはぎさしみ
1328,2829,かんぱちさしみ
1329,2831,きすてんぷら
1330,2833,こいみずに
1331,2835,まさばさしみ
1332,2837,しおおにぎり
1333,2839,さばぶし
1334,2841,しおさば
1335,2843,さわらやき
1336,2845,くろだいさしみ
1337,2847,かずのこ
1338,2849,はぜつくだに
1339,2851,はぜかんろに
1340,2853,ひらまささしみ
1341,2855,ひらめさしみ
1342,2857,ふなかんろに
1343,2859,しおほっけ
1344,2861,きはださしみ
1345,2863,あかがいさしみ
1346,2865,かきみずに
1347,2867,さざえやき
1348,2869,しじみみずに
1349,2871,ほたてがいさしみ
1350,2873,ほっきがいさしみ
1351,2875,けがに
1352,2876,ゆでだこ
1353,2878,ねりうに
1354,2880,ほやしおから
1355,2882,やきちくわ
1356,2884,だてまき
1357,2885,なると　　　　
1358,2886,なると
1359,2887,はんぺん　　　　
1360,2888,はんぺん
1361,2890,くじらさしみ
1362,2892,とんそく
1363,2894,なまはむ
1364,2896,べーこん
1365,2898,やきぶた
1366,2900,はちのこ
1367,2902,ぽーちどえっぐ
1368,2904,あつやきたまご
1369,2906,いまがわやき
1370,2908,ういろう
1371,2910,かしわもち
1372,2912,かのこ
1373,2914,かるかん
1374,2916,ぎゅうひ
1375,2918,きんつば
1376,2920,くさもち
1377,2922,げっぺい
1378,2924,ごへいもち
1379,2926,ささだんご
1380,2928,ちゃつう
1381,2930,どらやき
1382,2931,ねりきり
1383,2933,もなか
1384,2935,ゆべし
1385,2937,いもかりんとう
1386,2939,ひなあられ
1387,2941,かれーぱん
1388,2943,くりーむぱん
1389,2945,じゃむぱん
1390,2947,ちょこころね
1391,2949,めろんぱん
1392,2951,ぎゅうにゅうかんてん
1393,2953,ばばろあ
1394,2955,りーふぱい
1395,2957,きゃらめる
1396,2959,ぶるっとる
1397,2961,ましゅまろ
1398,2963,らむねきゃんでぃー
1399,2965,とういいがむ
1400,2967,ふうせんがむ
1401,2969,じん
1402,2971,らむ
1403,2973,ぱいちゅう
1404,2975,ぎょくろ
1405,2977,ばんちゃ
1406,2979,あおじる　　けーる
1407,2981,ぽかり
1408,2983,ふぁんた
1409,2985,こーら
1410,2987,すぷらいと
1411,2989,さいだー
1412,2991,いびぐらたん
1413,2993,めんちかつ
1414,2994,ゆでたまご
1415,2996,むぎちゃ
1416,2998,なし
1417,3000,せきはん
1418,3002,めだまやき
1419,3004,ざっこくまい
1420,3006,ちゅうかすーぷ
1421,3008,ちゃんぽん
1422,3010,さけのちたたぷ
1423,3012,かいせんどん
1424,3014,でこぽん
1425,3016,りこったぱんけーきとなまくりーむ
1426,3018,びーふかれーらいす
1427,3020,てりやきちきん
1428,3026,ふぁいばーぷらす
1429,3028,くっきー
1430,3030,ぐらのーら
1431,3032,のにぴゅーれたいぷ
1432,3035,ごこくまい
1433,3037,ぷろていんぷらす
1434,3039,ちきんかれーるーのみ
1435,3041,こんとれっくす
1436,3043,かるしうむぷらすさぷりめんと
1437,3045,ちきんなんばん
1438,3047,あすぱらべーこん
1439,3049,どらいかれー
1440,3051,ぐみきゃんでぃー
1441,3055,さんさいそば
1442,3057,たきこみごはん
1443,3059,こうそげんまい
1444,3061,なべやきうどん
1445,3065,とうふはんばーぐ
1446,3067,ぶたにくのしょうがやき
1447,3069,すけとうだらのあまずあんかけ
1448,3071,すくらんぶるえっぐ
1449,3073,やきいも
1450,3075,のにこらーげん
1451,3077,なべやきうどん
1452,3079,てんどん
1453,3081,ぎゅうどん
1454,3083,おやこどん
1455,3085,かつどん
1456,3087,ぶたどん
1457,3089,ぎゅうゆっけどん
1458,3091,びびんば
1459,3093,ぎゅうそぼろどん
1460,3095,ぷるこぎどんぶり
1461,3097,ねぎとろどん
1462,3099,たにんどん
1463,3101,あなごどん
1464,3103,うなどん
1465,3105,ふかがわどん
1466,3107,たまごととりのそぼろどん
1467,3109,とりそぼろどん
1468,3111,なっとうあぼかどどん
1469,3113,しらすどん
1470,3115,かいせんどん
1471,3117,いくらどん
1472,3119,まぐろどん
1473,3121,うにどん
1474,3123,さけいくらどん
1475,3125,まぐろゆっけどん
1476,3127,てっかどん
1477,3129,うにいくらどん
1478,3131,ぎゅうにくのたたき
1479,3133,りぞっと
1480,3135,まいわしみりんぼし
1481,3137,ぱくちーさらだ
1482,3139,はんばーがー
1483,3141,ちーずばーがー
1484,3143,かふぇらて
1485,3145,なぽりたん
1486,3147,ごーやちゃんぷるー
1487,3149,たまごやき
1488,3151,ほっとどっぐ
1489,3153,なっとうまき
1490,3155,ざばすみるくぷろていん
1491,3157,やさいすーぷ
1492,3159,あたりめ
1493,3161,たまごさんど
1494,3163,おむらいす
1495,3165,にくずし
1496,3169,おぞうに
1497,3171,みにはんばーぐ
1498,3173,やきにく
1499,3175,かきぴー
1500,3177,きゃべつさらだ
1501,3179,どーなつ
1502,3181,めいぷるどーなつ
1503,3183,きのこさらだ
1504,3185,しゅーまい
1505,3189,おちゃづけ
1506,3191,すなぎもいため
1507,3193,しょうろんぽう
1508,3197,やさいいため
1509,3199,かしぱん
1510,3200,そーめん
1511,3202,すむーじー
1512,3204,ばななすむーじー
1513,3206,かるぼなーら
1514,3208,にくじゃが
1515,3210,ひやしちゅうか
1516,3212,なすのごまあえ
1517,3214,おはぎ
1518,3216,ぼたもち
1519,3218,すいぎょうざ
1520,3220,しりあるとぎゅうにゅう
1521,3222,しりある
1522,3224,ちゃーしゅー
1523,3226,さしみもりあわせ
1524,3228,ぷちとまと
1525,3230,とっぴんぐねぎ
1526,3232,からあげ
1527,3234,もずくす
1528,3236,おにおんりんぐ
1529,3238,あじのなんばんづけ
1530,3240,ぽてとさらだ
1531,3242,はやしらいす
1532,3244,わかめごはん
1533,3246,やきおにぎり
1534,3248,ぱいなっぷる
1535,3250,こーんちゃ
1536,3252,みるくてぃー
1537,3254,れーずんぱん
1538,3256,わかめとしらすのすのもの
1539,3258,あおなのおひたし
1540,3259,ぜんざい
1541,3261,とりはむ
1542,3263,にくどうふ
1543,3265,もやしのなむる
1544,3267,まかろにさらだ
1545,3269,こんにゃくでんがく
1546,3271,だいこんもち
1547,3272,いももち
1548,3273,にんじんのきんぴら
1549,3275,ぴざとーすと
1550,3277,かふぇおれ
1551,3279,むしたまねぎ
1552,3281,かんこくれいめん
1553,3283,しゅうまい
1554,3285,ちぢみ
1555,3287,やきそば
1556,3289,じごくらーめん
1557,3291,からいらーめん
1558,3293,ざんてい
1559,3295,こーるすろーさらだ
1560,3297,ぼんごれびあんこ
1561,3299,くらむちゃうだー
1562,3301,かぼちゃのにもの
1563,3303,ちゃわんむし
1564,3305,やきびーふん
1565,3307,おんせんたまご
1566,3309,きゃろっとらぺ
1567,3311,ぶたのかくに
1568,3313,すこーん
1569,3315,ぺぺろんちーの
1570,3317,てまなしぇいぷまーべらすまんごー
1571,3319,えんはんすと　さいぼーぐっど
1572,3321,えんはんすと　おとぐっど
1573,3322,ごはん
1574,3324,ちゃぷちぇ
1575,3325,ふかしいも
1576,3327,けーるさらだ
1577,3329,たまごすーぷ
1578,3331,あくあぱっつぁ
